entity_id,position,commons_title
colony-neapolis-campania,1,"File:Napoli, piazza bellini, mura greche.JPG"
colony-neapolis-campania,2,File:Neapolis (Campania) - 325-241 BC - silver didrachm - head of Parthenope - river god - München SMS.jpg
colony-pharos-hvar,1,File:Stari Grad Plain.jpg
colony-pharos-hvar,2,File:Stari Grad Plain Path 1.jpg
colony-selinus,1,File:Selinunte-pjt2.jpg
colony-selinus,2,File:Selinunte Panoramic View 1.jpg
colony-taras,1,File:Taras Doric columns.jpg
colony-taras,2,File:Taras - 473-460 BC - silver didrachm - youth riding dolphin - man seated with spindle - München SMS.jpg
colony-teos,1,File:Theater teos.JPG
colony-teos,2,File:Esmirna (provincia) 1998 03.jpg
kingdom-athens-mycenaean,1,"File:The Mycenaean Fountain of the Acropolis of Athens on March 12, 2022.jpg"
kingdom-athens-mycenaean,2,File:Athens Acropolis Mycenaean wall behind Nike bastion.jpg
kingdom-bosporus-archaeanactid,1,"File:Pantikapaion - Münzkabinett, Berlin - 5477756.jpg"
kingdom-bosporus-archaeanactid,2,"File:Pantikapaion - Münzkabinett, Berlin - 5501464.jpg"
kingdom-cappadocia-late-client,1,"File:Coin of Ariobarzanes, minted at Mazaca in 83 or 82 BC.jpg"
kingdom-cappadocia-late-client,2,File:Kappadokia - king Archelaos - 17-16 BC - silver drachma - head of Archelaos - club - Berlin MK BM 18200192.jpg
kingdom-cyrene-battiad,1,File:Arkesilas Painter - Arkesilas supervising the silphion trade - Paris BnF CabMed 189 - 02.jpg
kingdom-cyrene-battiad,2,"File:Kyrene - Münzkabinett, Berlin - 5486471.jpg"
kingdom-indo-greek-early,1,"File:Dinastia indo-battriana, tetradracma di demetrio I, 200-190 ac ca.JPG"
kingdom-indo-greek-early,2,"File:Monnaie - Argent, Incertain, Bactriane, Apollodote I - btv1b85019778 (1 of 2).jpg"
sanctuary-croton-hera-lacinia-sanctuary,1,"File:Crotone, parco archeologico di capo colonna, tempio di hera lacinia, 01.jpg"
sanctuary-croton-hera-lacinia-sanctuary,2,"File:Crotone, parco archeologico di capo colonna, tempio di hera lacinia, 02 colonna dorica.jpg"
sanctuary-delphi-apollo-sanctuary,1,"File:View of the Sanctuary of Apollo in Delphi on October 4, 2020.jpg"
sanctuary-delphi-apollo-sanctuary,2,"File:Ruins at the Sanctuary of Apollo in Delphi on October 4, 2020.jpg"
sanctuary-delphi-athena-pronaia-sanctuary,1,File:Tholos Athena Pronaia.JPG
sanctuary-delphi-athena-pronaia-sanctuary,2,"File:Temple of the Athena Pronaia in Delphi, 380 BC, 060096.jpg"
sanctuary-naukratis-hellenion,1,"File:Relief hoplite Naukratis BM 1900,0214.21.jpg"
sanctuary-naukratis-hellenion,2,File:Petrie's sketch plan of Naucratis.jpg
sanctuary-tinos-poseidon-amphitrite-sanctuary,1,File:Sanctuary Kionia Tinos Greece 2018041014550N01776 02.jpg
sanctuary-tinos-poseidon-amphitrite-sanctuary,2,File:Sanctuary Kionia Tinos Greece 2018041014550N01776 03.jpg
colony-emporion-iberia,1,File:Empuries Neapolis Vuegenerale 01.jpg
colony-emporion-iberia,2,File:Empuries Neapolis Agora.jpg
colony-syracuse,1,File:Teatro greco di Siracusa 2024a.jpg
colony-syracuse,2,"File:Greek Ruins, market in Ortigia, Syracuse.jpg"
sanctuary-despotiko-apollo-sanctuary,1,"File:Ο Ναός του Απόλλωνα, Δεσποτικό.jpg"
sanctuary-despotiko-apollo-sanctuary,2,"File:Inscriptio (graffito), shard of vase, AM Paros, 143996.jpg"
sanctuary-sardis-artemis-sanctuary,1,File:Artemis Tapınağı - Sardes Antik Kenti.jpg
sanctuary-sardis-artemis-sanctuary,2,File:Temple of Artemis in Sardes.jpg
