external_id,entity_id,place_id,scheme,identifier,uri,match_type,source_id
ext-pleiades-colony-myrina-aeolis,colony-myrina-aeolis,,pleiades,550756,https://pleiades.stoa.org/places/550756,exact,src-pleiades-550756
ext-pleiades-colony-naucratis,colony-naucratis,,pleiades,727169,https://pleiades.stoa.org/places/727169,exact,src-pleiades-727169
ext-pleiades-colony-naxos-sicily,colony-naxos-sicily,,pleiades,462386,https://pleiades.stoa.org/places/462386,exact,src-pleiades-462386
ext-pleiades-colony-neapolis-campania,colony-neapolis-campania,,pleiades,433014,https://pleiades.stoa.org/places/433014,exact,src-pleiades-433014
ext-pleiades-colony-odessos,colony-odessos,,pleiades,216904,https://pleiades.stoa.org/places/216904,exact,src-pleiades-216904
ext-pleiades-colony-olbia-pontica,colony-olbia-pontica,,pleiades,226546,https://pleiades.stoa.org/places/226546,exact,src-pleiades-226546
ext-pleiades-colony-panticapaeum,colony-panticapaeum,,pleiades,854719,https://pleiades.stoa.org/places/854719,exact,src-pleiades-854719
ext-pleiades-colony-phanagoria,colony-phanagoria,,pleiades,854724,https://pleiades.stoa.org/places/854724,exact,src-pleiades-854724
ext-pleiades-colony-pharos-hvar,colony-pharos-hvar,,pleiades,197433,https://pleiades.stoa.org/places/197433,exact,src-pleiades-197433
ext-pleiades-colony-phaselis,colony-phaselis,,pleiades,639051,https://pleiades.stoa.org/places/639051,exact,src-pleiades-639051
ext-pleiades-colony-phasis-city,colony-phasis-city,,pleiades,857275,https://pleiades.stoa.org/places/857275,exact,src-pleiades-857275
ext-pleiades-colony-philippi,colony-philippi,,pleiades,501482,https://pleiades.stoa.org/places/501482,exact,src-pleiades-501482
ext-pleiades-colony-phocaea,colony-phocaea,,pleiades,550823,https://pleiades.stoa.org/places/550823,exact,src-pleiades-550823
ext-pleiades-colony-poseidonia,colony-poseidonia,,pleiades,442733,https://pleiades.stoa.org/places/442733,exact,src-pleiades-442733
ext-pleiades-colony-priene,colony-priene,,pleiades,599905,https://pleiades.stoa.org/places/599905,exact,src-pleiades-599905
ext-pleiades-colony-rhegion,colony-rhegion,,pleiades,452416,https://pleiades.stoa.org/places/452416,exact,src-pleiades-452416
ext-pleiades-colony-selinus,colony-selinus,,pleiades,462489,https://pleiades.stoa.org/places/462489,exact,src-pleiades-462489
ext-pleiades-colony-sinope,colony-sinope,,pleiades,857321,https://pleiades.stoa.org/places/857321,exact,src-pleiades-857321
