place_id,entity_id,latitude,longitude,geometry_wkt,geometry_geojson,geometry_role,location_certainty,location_precision,modern_country_el,modern_country_en,country_iso3,country_iso2,modern_locality,coordinate_source_text,spatial_note_el,spatial_note_en,source_id,review_state
place-colony-sinope,colony-sinope,42.025776,35.143037,POINT (35.143037 42.025776),"{""coordinates"":[35.143037,42.025776],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,Sinop,Pleiades representative point,,,src-pleiades-857321,reviewed
place-colony-sybaris,colony-sybaris,39.717328,16.494262,POINT (16.494262 39.717328),"{""coordinates"":[16.494262,39.717328],""type"":""Point""}",site,high,exact,Ιταλία,Italy,ITA,IT,"Sibari, Calabria",Pleiades representative point,,,src-pleiades-452457,reviewed
place-colony-syracuse,colony-syracuse,37.070079,15.283336,POINT (15.283336 37.070079),"{""coordinates"":[15.283336,37.070079],""type"":""Point""}",site,high,approximate,Ιταλία,Italy,ITA,IT,Siracusa,Pleiades representative point,,,src-pleiades-462503,reviewed
place-colony-tanais,colony-tanais,47.268688,39.335671,POINT (39.335671 47.268688),"{""coordinates"":[39.335671,47.268688],""type"":""Point""}",site,high,exact,Ρωσία,Russia,RUS,RU,"Nedvigovka, Rostov Oblast",Pleiades representative point,,,src-pleiades-825397,reviewed
place-colony-taras,colony-taras,40.473787,17.233042,POINT (17.233042 40.473787),"{""coordinates"":[17.233042,40.473787],""type"":""Point""}",site,high,approximate,Ιταλία,Italy,ITA,IT,Taranto,Pleiades representative point,,,src-pleiades-442810,reviewed
place-colony-taucheira,colony-taucheira,32.536399,20.567298,POINT (20.567298 32.536399),"{""coordinates"":[20.567298,32.536399],""type"":""Point""}",site,high,exact,Λιβύη,Libya,LBY,LY,Tocra,Pleiades representative point,,,src-pleiades-373736,reviewed
place-colony-teos,colony-teos,38.177262,26.785014,POINT (26.785014 38.177262),"{""coordinates"":[26.785014,38.177262],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,"Sığacık, Seferihisar",Pleiades representative point,,,src-pleiades-550913,reviewed
place-colony-theodosia-crimea,colony-theodosia-crimea,45.04609,35.378768,POINT (35.378768 45.04609),"{""coordinates"":[35.378768,45.04609],""type"":""Point""}",site,high,exact,Ουκρανία,Ukraine,UKR,UA,"Feodosia, Crimea",Pleiades representative point,,,src-pleiades-854743,reviewed
place-colony-tomis,colony-tomis,44.172856,28.649738,POINT (28.649738 44.172856),"{""coordinates"":[28.649738,44.172856],""type"":""Point""}",site,high,exact,Ρουμανία,Romania,ROU,RO,Constanța,Pleiades representative point,,,src-pleiades-217016,reviewed
place-colony-tragurion,colony-tragurion,43.517639,16.25063,POINT (16.25063 43.517639),"{""coordinates"":[16.25063,43.517639],""type"":""Point""}",site,high,exact,Κροατία,Croatia,HRV,HR,Trogir,Pleiades representative point,,,src-pleiades-197555,reviewed
place-colony-trapezus,colony-trapezus,41.004269,39.723312,POINT (39.723312 41.004269),"{""coordinates"":[39.723312,41.004269],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,Trabzon,Pleiades representative point,,,src-pleiades-857359,reviewed
place-colony-tyras,colony-tyras,46.200755,30.350134,POINT (30.350134 46.200755),"{""coordinates"":[30.350134,46.200755],""type"":""Point""}",site,high,exact,Ουκρανία,Ukraine,UKR,UA,Bilhorod-Dnistrovskyi,Pleiades representative point,,,src-pleiades-226800,reviewed
place-colony-zancle-messana,colony-zancle-messana,38.192251,15.556634,POINT (15.556634 38.192251),"{""coordinates"":[15.556634,38.192251],""type"":""Point""}",site,high,exact,Ιταλία,Italy,ITA,IT,Messina,Pleiades representative point,,,src-pleiades-462538,reviewed
