name_id,entity_id,name,language,script,name_type,is_preferred,start_year,end_year,source_id,review_state
name-colony-elea-velia-el-preferred,colony-elea-velia,Ελέα,el,Grek,preferred,1,,,src-pleiades-452488,reviewed
name-colony-elea-velia-en-preferred,colony-elea-velia,Elea,en,Latn,preferred,1,,,src-pleiades-452488,reviewed
name-colony-elea-velia-grc-ancient,colony-elea-velia,Ἐλέα,grc,Grek,ancient,0,,,src-pleiades-452488,reviewed
name-colony-emporion-iberia-el-preferred,colony-emporion-iberia,Εμπόριον,el,Grek,preferred,1,,,src-pleiades-246382,reviewed
name-colony-emporion-iberia-en-preferred,colony-emporion-iberia,Emporion,en,Latn,preferred,1,,,src-pleiades-246382,reviewed
name-colony-emporion-iberia-grc-ancient,colony-emporion-iberia,Ἐμπόριον,grc,Grek,ancient,0,,,src-pleiades-246382,reviewed
name-colony-ephesus-el-preferred,colony-ephesus,Έφεσος,el,Grek,preferred,1,,,src-pleiades-599612,reviewed
name-colony-ephesus-en-preferred,colony-ephesus,Ephesus,en,Latn,preferred,1,,,src-pleiades-599612,reviewed
name-colony-ephesus-grc-ancient,colony-ephesus,Ἔφεσος,grc,Grek,ancient,0,,,src-pleiades-599612,reviewed
name-colony-epidamnos-el-preferred,colony-epidamnos,Επίδαμνος,el,Grek,preferred,1,,,src-pleiades-481818,reviewed
name-colony-epidamnos-en-preferred,colony-epidamnos,Epidamnos,en,Latn,preferred,1,,,src-pleiades-481818,reviewed
name-colony-epidamnos-grc-ancient,colony-epidamnos,Ἐπίδαμνος,grc,Grek,ancient,0,,,src-pleiades-481818,reviewed
name-colony-erythrae-ionia-el-preferred,colony-erythrae-ionia,Ερυθρές,el,Grek,preferred,1,,,src-pleiades-550535,reviewed
name-colony-erythrae-ionia-en-preferred,colony-erythrae-ionia,Erythrae,en,Latn,preferred,1,,,src-pleiades-550535,reviewed
name-colony-erythrae-ionia-grc-ancient,colony-erythrae-ionia,Ἐρυθραί,grc,Grek,ancient,0,,,src-pleiades-550535,reviewed
name-colony-euesperides-el-preferred,colony-euesperides,Ευεσπερίδες,el,Grek,preferred,1,,,src-pleiades-373786,reviewed
name-colony-euesperides-en-preferred,colony-euesperides,Euesperides,en,Latn,preferred,1,,,src-pleiades-373786,reviewed
name-colony-euesperides-grc-ancient,colony-euesperides,Εὐεσπερίδες,grc,Grek,ancient,0,,,src-pleiades-373786,reviewed
